,Close,Open,High,Low,Volume,Adj Close
2020-01-02,100.49671415301123,98.57787402358589,102.66659012484624,96.44942871071048,9835930,100.49671415301123
2020-01-03,102.36130858989597,100.94101649602015,103.93392658664116,99.39021901855351,14393821,102.36130858989597
2020-01-06,103.64118930426945,102.18852624856186,104.9825689493686,100.86594774485441,15120430,103.64118930426945
2020-01-07,104.87612811630305,103.68284728990263,106.4024773750952,102.17386483648002,13759267,104.87612811630305
2020-01-08,105.01552698394025,105.20078636128001,106.7590358497195,103.46002158458938,9881328,105.01552698394025
2020-01-09,106.28840385630237,104.03097752435517,106.96269679766135,103.3710056809339,11941318,106.28840385630237
2020-01-10,109.17840622243112,105.95101086851612,111.63215718113925,103.56979462356509,17096367,109.17840622243112
2020-01-13,109.74665536383394,109.6987055334704,111.41553194390391,108.03055810864115,14241006,109.74665536383394
2020-01-14,108.08624258613543,108.9207309495276,110.79580249307314,106.22553676865485,13359164,108.08624258613543
2020-01-15,108.10083238780092,108.27662002935091,110.41592229452847,105.96500329069653,9128988,108.10083238780092
2020-01-16,108.31558651468752,107.22094665410931,109.38728125982072,106.16008248123393,8524761,108.31558651468752
2020-01-17,108.46814824190619,108.61871633737945,110.50513663191529,106.58434291761296,7700801,108.46814824190619
2020-01-20,108.00518454947344,108.44495244839376,109.92650510824089,106.52963990830908,12400718,108.00518454947344
2020-01-21,104.61477828270289,106.95852889038184,109.0157536058602,102.60263292393462,18272994,104.61477828270289
2020-01-22,102.30763836496462,105.34587197864494,105.80558692085555,101.86118185769693,16174663,102.30763836496462
2020-01-23,102.59220699845561,101.8567123886546,104.08025858861885,100.37932880101992,10288131,102.59220699845561
2020-01-24,102.55984265025188,102.09345348402051,103.78911433198803,100.86977189466263,13333258,102.55984265025188
2020-01-27,102.67769940087155,102.68326472210285,104.44544454788202,100.91561508332174,9285780,102.67769940087155
2020-01-28,100.88696466200004,103.38533604378308,105.17909446577228,99.13655353546707,16327640,100.88696466200004
2020-01-29,99.50443076796782,100.27206558227506,101.42137101534263,98.363923865753,12642416,99.50443076796782
2020-01-30,102.37660033162382,99.54125527806168,103.54769964130128,98.4025898509723,13966005,102.37660033162382
2020-01-31,103.573489588701,102.64000498444352,105.06978194054099,101.15719837957852,13890524,103.573489588701
2020-02-03,103.71492777248942,104.00421378708742,105.09800414439262,102.62417977512088,11150202,103.71492777248942
2020-02-04,101.46713212455967,103.82472551145928,105.81919002445838,99.51795678832545,15395393,101.46713212455967
2020-02-05,100.78208761060905,101.24368455110971,102.57544033269585,99.45640365855972,11536293,100.78208761060905
2020-02-06,101.90069842574034,100.28164998987044,101.94808825280509,100.23501311569584,12127600,101.90069842574034
2020-02-07,101.56796512045894,101.95336715682552,103.2915958103917,100.23479521151876,17176136,101.56796512045894
2020-02-10,101.24965473431116,100.91459525381711,102.2426385388913,99.92489747167897,13466831,101.24965473431116
2020-02-11,98.95220662640077,99.47494036744071,100.15570915062318,98.27501523478546,16799413,98.95220662640077
2020-02-12,97.60850578459198,99.2113979620755,100.08573479823876,96.74829502369788,13003385,97.60850578459198
2020-02-13,97.13843765185023,98.13789615958233,99.66365018821467,95.62822224697382,13409627,97.13843765185023
2020-02-14,99.03932437126535,95.76124826145772,101.18285268664324,93.68866801651492,15432533,99.03932437126535
2020-02-17,97.73164021909015,98.43930609051698,100.07004399330269,96.11262545419392,12707160,97.73164021909015
2020-02-18,94.59591080416034,98.0947059879502,99.26865272003087,93.46383584416833,15449949,94.59591080416034
2020-02-19,94.23576641545333,95.76369475175721,97.41844552394545,92.60741751300186,10588681,94.23576641545333
2020-02-20,93.27724345376464,94.2475234813298,95.44489570958766,92.09219819512597,6383244,93.27724345376464
2020-02-21,93.91592465165789,92.86980680826012,94.99849334176606,91.79929671660186,11858536,93.91592465165789
2020-02-24,91.26224612328467,93.81286332136673,94.6785859350961,90.42006108115446,14194449,91.26224612328467
2020-02-25,88.62569332564702,92.01509198420507,92.58934491999895,88.07259313869338,21696450,88.62569332564702
2020-02-26,88.51591500663974,88.28219918621636,89.67108146339488,87.13008281007266,10287458,88.51591500663974
2020-02-27,90.42804757750756,88.0914677362319,91.85593063370162,86.70047990064893,11289739,90.42804757750756
2020-02-28,91.90299541786133,90.1661262523579,93.23714032561607,88.85719526872018,13130500,91.90299541786133
2020-03-02,91.86125711457359,91.37731288956223,93.04811974669555,90.19670289685259,8185816,91.86125711457359
2020-03-03,90.85619195566794,91.92886901120113,92.87309521771088,89.92298350449283,13398620,90.85619195566794
2020-03-04,89.46986297973712,91.74186454300163,93.39700070977844,87.85571651790106,13833702,89.46986297973712
2020-03-05,90.0941163589433,89.64329812952083,90.85219892204871,88.88900890445642,13801565,90.0941163589433
